Birth Date,Birth Place,Death Date,Death Place,Name,URL
1889-4-16,"Walworth, London, England, UK",1977-12-25,"Vevey, Vaud, Switzerland"," Charles Chaplin
",https://www.imdb.com//name/nm0000122
1920-6-17,"Yokohama, Japan",2015-9-5,"Kanagawa, Japan"," Setsuko Hara
",https://www.imdb.com//name/nm0361697
1935-10-1,"Walton-on-Thames, Surrey, England, UK",,," Julie Andrews
",https://www.imdb.com//name/nm0000267
1920-10-17,"Omaha, Nebraska, USA",1966-7-23,"New York City, New York, USA"," Montgomery Clift
",https://www.imdb.com//name/nm0001050
1953-3-16,"Paris, France",,," Isabelle Huppert
",https://www.imdb.com//name/nm0001376
1940-4-25,"Manhattan, New York City, New York, USA",,," Al Pacino
",https://www.imdb.com//name/nm0000199
1918-10-17,"Brooklyn, New York City, New York, USA",1987-5-14,"New York City, New York, USA"," Rita Hayworth
",https://www.imdb.com//name/nm0000028
1966-8-14,"Cleveland, Ohio, USA",,," Halle Berry
",https://www.imdb.com//name/nm0000932
1931-2-8,"Marion, Indiana, USA",1955-9-30,"Cholame, California, USA"," James Dean
",https://www.imdb.com//name/nm0000015
1916-12-9,"Amsterdam, New York, USA",2020-2-5,"Beverly Hills, California, USA"," Kirk Douglas
",https://www.imdb.com//name/nm0000018
1938-7-20,"San Francisco, California, USA",1981-11-29,"Pacific Ocean off Santa Catalina Island, California, USA"," Natalie Wood
",https://www.imdb.com//name/nm0000081
1924-9-28,"Fontana Liri, Lazio, Italy",1996-12-19,"Paris, France"," Marcello Mastroianni
",https://www.imdb.com//name/nm0000052
1904-3-23,"San Antonio, Texas, USA",1977-5-10,"New York City, New York, USA"," Joan Crawford
",https://www.imdb.com//name/nm0001076
1942-7-13,"Chicago, Illinois, USA",,," Harrison Ford
",https://www.imdb.com//name/nm0000148
1946-10-4,"New York City, New York, USA",,," Susan Sarandon
",https://www.imdb.com//name/nm0000215
1912-8-23,"Pittsburgh, Pennsylvania, USA",1996-2-2,"Beverly Hills, Los Angeles, California, USA"," Gene Kelly
",https://www.imdb.com//name/nm0000037
1947-3-19,"Greenwich, Connecticut, USA",,," Glenn Close
",https://www.imdb.com//name/nm0000335
1917-10-22,"Tokyo, Japan",2013-12-15,"Carmel, California, USA"," Joan Fontaine
",https://www.imdb.com//name/nm0000021
1960-12-3,"Fayetteville, North Carolina, USA",,," Julianne Moore
",https://www.imdb.com//name/nm0000194
1968-9-25,"Philadelphia, Pennsylvania, USA",,," Will Smith
",https://www.imdb.com//name/nm0000226
1940-11-27,"San Francisco, California, USA",1973-7-20,"Kowloon, Hong Kong"," Bruce Lee
",https://www.imdb.com//name/nm0000045
1971-1-15,"Los Angeles, California, USA",,," Regina King
",https://www.imdb.com//name/nm0005093
1975-6-4,"Los Angeles, California, USA",,," Angelina Jolie
",https://www.imdb.com//name/nm0001401
1907-5-26,"Winterset, Iowa, USA",1979-6-11,"Los Angeles, California, USA"," John Wayne
",https://www.imdb.com//name/nm0000078
1937-12-21,"New York City, New York, USA",,," Jane Fonda
",https://www.imdb.com//name/nm0000404
1923-10-4,"Wilmette, Illinois, USA",2008-4-5,"Beverly Hills, California, USA"," Charlton Heston
",https://www.imdb.com//name/nm0000032
1901-5-7,"Helena, Montana, USA",1961-5-13,"Beverly Hills, Los Angeles, California, USA"," Gary Cooper
",https://www.imdb.com//name/nm0000011
1937-12-31,"Margam, Port Talbot, West Glamorgan, Wales, UK",,," Anthony Hopkins
",https://www.imdb.com//name/nm0000164
1938-12-16,"Tokyo, Japan",,," Liv Ullmann
",https://www.imdb.com//name/nm0880521
1981-6-9,"Jerusalem, Israel",,," Natalie Portman
",https://www.imdb.com//name/nm0000204
1948-12-27,"Châteauroux, Indre, France",,," Gérard Depardieu
",https://www.imdb.com//name/nm0000367
1961-7-15,"Longview, Texas, USA",,," Forest Whitaker
",https://www.imdb.com//name/nm0001845
1964-7-26,"Arlington, Virginia, USA",,," Sandra Bullock
",https://www.imdb.com//name/nm0000113
1921-9-30,"Hillhead, Glasgow, Scotland, UK",2007-10-16,"Botesdale, Suffolk, England, UK"," Deborah Kerr
",https://www.imdb.com//name/nm0000039
1920-4-1,"Tsingtao, China [now Qingdao, Shandong, China]",1997-12-24,"Mitaka city, Tokyo, Japan"," Toshirô Mifune
",https://www.imdb.com//name/nm0001536
1937-8-8,"Los Angeles, California, USA",,," Dustin Hoffman
",https://www.imdb.com//name/nm0000163
1960-5-21,"Pathanamthitta, Kerala, India",,," Mohanlal
",https://www.imdb.com//name/nm0482320
1959-4-15,"Paddington, London, England, UK",,," Emma Thompson
",https://www.imdb.com//name/nm0000668
1962-7-3,"Syracuse, New York, USA",,," Tom Cruise
",https://www.imdb.com//name/nm0000129
1958-4-29,"Santa Ana, California, USA",,," Michelle Pfeiffer
",https://www.imdb.com//name/nm0000201
1941-1-14,"Bascom, Florida, USA",,," Faye Dunaway
",https://www.imdb.com//name/nm0001159
1948-12-21,"Washington, District of Columbia, USA",,," Samuel L. Jackson
",https://www.imdb.com//name/nm0000168
1932-8-2,"Hunslet, Leeds, West Yorkshire, England, UK",2013-12-14,"London, England, UK"," Peter O'Toole
",https://www.imdb.com//name/nm0000564
1979-4-4,"Perth, Western Australia, Australia",2008-1-22,"Manhattan, New York City, New York, USA"," Heath Ledger
",https://www.imdb.com//name/nm0005132
1974-4-28,"Alcobendas, Madrid, Spain",,," Penélope Cruz
",https://www.imdb.com//name/nm0004851
1967-6-20,"Honolulu, Hawaii, USA",,," Nicole Kidman
",https://www.imdb.com//name/nm0000173
1976-11-29,"Anderson, South Carolina, USA",2020-8-28,"Los Angeles, California, USA"," Chadwick Boseman
",https://www.imdb.com//name/nm1569276
1960-8-10,"Málaga, Málaga, Andalucía, Spain",,," Antonio Banderas
",https://www.imdb.com//name/nm0000104
1949-10-8,"Manhattan, New York City, New York, USA",,," Sigourney Weaver
",https://www.imdb.com//name/nm0000244
1966-9-2,"Coatzacoalcos, Veracruz, Mexico",,," Salma Hayek
",https://www.imdb.com//name/nm0000161
1964-11-29,"Kansas City, Missouri, USA",,," Don Cheadle
",https://www.imdb.com//name/nm0000332
1957-6-23,"Gibson City, Illinois, USA",,," Frances McDormand
",https://www.imdb.com//name/nm0000531
1948-6-28,"Memphis, Tennessee, USA",,," Kathy Bates
",https://www.imdb.com//name/nm0000870
1932-4-10,"Alexandria, Egypt",2015-7-10,"Cairo, Egypt"," Omar Sharif
",https://www.imdb.com//name/nm0001725
1974-8-20,"Vicenza, Veneto, Italy",,," Amy Adams
",https://www.imdb.com//name/nm0010736
1974-10-28,"San Juan, Puerto Rico",,," Joaquin Phoenix
",https://www.imdb.com//name/nm0001618
1949-12-4,"Los Angeles, California, USA",,," Jeff Bridges
",https://www.imdb.com//name/nm0000313
1943-12-31,"Scarborough, Yorkshire, England, UK",,," Ben Kingsley
",https://www.imdb.com//name/nm0001426
1946-9-15,"San Saba, Texas, USA",,," Tommy Lee Jones
",https://www.imdb.com//name/nm0000169
1936-8-18,"Santa Monica, California, USA",,," Robert Redford
",https://www.imdb.com//name/nm0000602
1925-2-8,"Newton, Massachusetts, USA",2001-6-27,"Los Angeles, California, USA"," Jack Lemmon
",https://www.imdb.com//name/nm0000493
1929-12-13,"Toronto, Ontario, Canada",2021-2-5,"Weston, Connecticut, USA"," Christopher Plummer
",https://www.imdb.com//name/nm0001626
1927-10-18,"Wise, Virginia, USA",1999-9-22,"Westlake Village, California, USA"," George C. Scott
",https://www.imdb.com//name/nm0001715
1951-7-21,"Chicago, Illinois, USA",2014-8-11,"Tiburon, California, USA"," Robin Williams
",https://www.imdb.com//name/nm0000245
1943-3-31,"Astoria, Queens, New York City, New York, USA",,," Christopher Walken
",https://www.imdb.com//name/nm0000686
1967-7-23,"Fairport, New York, USA",2014-2-2,"West Village, Manhattan, New York City, New York, USA"," Philip Seymour Hoffman
",https://www.imdb.com//name/nm0000450
1961-5-6,"Lexington, Kentucky, USA",,," George Clooney
",https://www.imdb.com//name/nm0000123
1930-1-30,"San Bernardino, California, USA",,," Gene Hackman
",https://www.imdb.com//name/nm0000432
1955-3-19,"Idar-Oberstein, West Germany",,," Bruce Willis
",https://www.imdb.com//name/nm0000246
1930-8-25,"Edinburgh, Scotland, UK",2020-10-31,"Nassau, Bahamas"," Sean Connery
",https://www.imdb.com//name/nm0000125
1939-5-25,"Burnley, Lancashire, England, UK",,," Ian McKellen
",https://www.imdb.com//name/nm0005212
1964-4-7,"Wellington, New Zealand",,," Russell Crowe
",https://www.imdb.com//name/nm0000128
1950-9-21,"Wilmette, Illinois, USA",,," Bill Murray
",https://www.imdb.com//name/nm0000195
1964-1-7,"Long Beach, California, USA",,," Nicolas Cage
",https://www.imdb.com//name/nm0000115
1943-2-9,"Newark, New Jersey, USA",,," Joe Pesci
",https://www.imdb.com//name/nm0000582
1963-12-18,"Shawnee, Oklahoma, USA",,," Brad Pitt
",https://www.imdb.com//name/nm0000093
1955-1-18,"Lynwood, California, USA",,," Kevin Costner
",https://www.imdb.com//name/nm0000126
1935-7-17,"Saint John, New Brunswick, Canada",,," Donald Sutherland
",https://www.imdb.com//name/nm0000661
1930-5-31,"San Francisco, California, USA",,," Clint Eastwood
",https://www.imdb.com//name/nm0000142
1944-9-25,"New Brunswick, New Jersey, USA",,," Michael Douglas
",https://www.imdb.com//name/nm0000140
1965-4-4,"Manhattan, New York City, New York, USA",,," Robert Downey Jr.
",https://www.imdb.com//name/nm0000375
1922-12-24,"Grabtown, North Carolina, USA",1990-1-25,"Westminster, London, England, UK"," Ava Gardner
",https://www.imdb.com//name/nm0001257
1946-11-6,"Pasadena, California, USA",,," Sally Field
",https://www.imdb.com//name/nm0000398
1922-4-3,"Cincinnati, Ohio, USA",2019-5-13,"Carmel Valley, California, USA"," Doris Day
",https://www.imdb.com//name/nm0000013
1934-4-24,"Richmond, Virginia, USA",,," Shirley MacLaine
",https://www.imdb.com//name/nm0000511
1958-3-20,"Conyers, Georgia, USA",,," Holly Hunter
",https://www.imdb.com//name/nm0000456
1974-7-30,"Lincoln, Nebraska, USA",,," Hilary Swank
",https://www.imdb.com//name/nm0005476
1903-9-13,"Saint-Mandé, Seine [now Val-de-Marne], France",1996-7-30,"Speightstown, Barbados"," Claudette Colbert
",https://www.imdb.com//name/nm0001055
1965-1-22,"New York City, New York, USA",,," Diane Lane
",https://www.imdb.com//name/nm0000178
1949-4-20,"Cloquet, Minnesota, USA",,," Jessica Lange
",https://www.imdb.com//name/nm0001448
1899-3-27,"Chicago, Illinois, USA",1983-4-4,"New York City, New York, USA"," Gloria Swanson
",https://www.imdb.com//name/nm0841797
1924-9-16,"The Bronx, New York City, New York, USA",2014-8-12,"New York City, New York, USA"," Lauren Bacall
",https://www.imdb.com//name/nm0000002
1968-12-2,"Queens, New York City, New York, USA",,," Lucy Liu
",https://www.imdb.com//name/nm0005154
1902-8-10,"Montréal, Québec, Canada",1983-6-12,"Woodland Hills, Los Angeles, California, USA"," Norma Shearer
",https://www.imdb.com//name/nm0790454
1945-12-1,"Honolulu, Hawaii, USA",,," Bette Midler
",https://www.imdb.com//name/nm0000541
1936-12-29,"Brooklyn, New York, USA",2017-1-25,"Greenwich, Connecticut, USA"," Mary Tyler Moore
",https://www.imdb.com//name/nm0001546
1908-3-7,"Rome, Lazio, Italy",1973-9-26,"Rome, Lazio, Italy"," Anna Magnani
",https://www.imdb.com//name/nm0536167
1934-12-9,"York, North Yorkshire, England, UK",,," Judi Dench
",https://www.imdb.com//name/nm0001132
1958-3-10,"Meadville, Pennsylvania, USA",,," Sharon Stone
",https://www.imdb.com//name/nm0000232
1953-12-8,"Athens, Georgia, USA",,," Kim Basinger
",https://www.imdb.com//name/nm0000107
1936-5-9,"Birkenhead, Cheshire, England, UK",,," Glenda Jackson
",https://www.imdb.com//name/nm0413559
1921-1-27,"Denison, Iowa, USA",1986-1-14,"Beverly Hills, Los Angeles, California, USA"," Donna Reed
",https://www.imdb.com//name/nm0001656
1962-11-11,"Roswell, New Mexico, USA",,," Demi Moore
",https://www.imdb.com//name/nm0000193
1982-11-12,"Brooklyn, New York City, New York, USA",,," Anne Hathaway
",https://www.imdb.com//name/nm0004266
1946-3-12,"Los Angeles, California, USA",,," Liza Minnelli
",https://www.imdb.com//name/nm0591485
1956-1-21,"Wareham, Massachusetts, USA",,," Geena Davis
",https://www.imdb.com//name/nm0000133
1925-9-8,"Southsea, Hampshire, England, UK",1980-7-24,"Lambeth, London, England, UK"," Peter Sellers
",https://www.imdb.com//name/nm0000634
1935-12-1,"Bronx, New York City, New York, USA",,," Woody Allen
",https://www.imdb.com//name/nm0000095
1956-1-3,"Peekskill, New York, USA",,," Mel Gibson
",https://www.imdb.com//name/nm0000154
1962-1-17,"Newmarket, Ontario, Canada",,," Jim Carrey
",https://www.imdb.com//name/nm0000120
1971-6-5,"Dorchester, Boston, Massachusetts, USA",,," Mark Wahlberg
",https://www.imdb.com//name/nm0000242
1945-8-14,"Waco, Texas, USA",,," Steve Martin
",https://www.imdb.com//name/nm0000188
1969-3-1,"Las Palmas de Gran Canaria, Gran Canaria, Canary Islands, Spain",,," Javier Bardem
",https://www.imdb.com//name/nm0000849
1956-10-4,"Vienna, Austria",,," Christoph Waltz
",https://www.imdb.com//name/nm0910607
1958-10-16,"West Covina, California, USA",,," Tim Robbins
",https://www.imdb.com//name/nm0000209
1947-7-30,"Thal, Styria, Austria",,," Arnold Schwarzenegger
",https://www.imdb.com//name/nm0000216
1946-7-6,"New York City, New York, USA",,," Sylvester Stallone
",https://www.imdb.com//name/nm0000230
1958-10-20,"Manhattan, New York City, New York, USA",,," Viggo Mortensen
",https://www.imdb.com//name/nm0001557
1922-5-27,"Belgravia, London, England, UK",2015-6-7,"Chelsea, London, England, UK"," Christopher Lee
",https://www.imdb.com//name/nm0000489
1951-7-6,"Toowoomba, Queensland, Australia",,," Geoffrey Rush
",https://www.imdb.com//name/nm0001691
1914-4-2,"Marylebone, London, England, UK",2000-8-5,"Midhurst, Sussex, England, UK"," Alec Guinness
",https://www.imdb.com//name/nm0000027
1925-11-10,"Pontrhydyfen, Wales, UK",1984-8-5,"Céligny, Geneva, Switzerland"," Richard Burton
",https://www.imdb.com//name/nm0000009
1958-4-3,"Massapequa, Long Island, New York, USA",,," Alec Baldwin
",https://www.imdb.com//name/nm0000285
1940-3-26,"The Bronx, New York, USA",,," James Caan
",https://www.imdb.com//name/nm0001001
1977-7-10,"Forest Gate, London, England, UK",,," Chiwetel Ejiofor
",https://www.imdb.com//name/nm0252230
1965-11-22,"Østerbro, Copenhagen, Denmark",,," Mads Mikkelsen
",https://www.imdb.com//name/nm0586568
1965-11-30,"New York City, New York, USA",,," Ben Stiller
",https://www.imdb.com//name/nm0001774
1955-7-22,"Appleton, Wisconsin, USA",,," Willem Dafoe
",https://www.imdb.com//name/nm0000353
1950-11-28,"Tenafly, New Jersey, USA",,," Ed Harris
",https://www.imdb.com//name/nm0000438
1939-5-13,"Brooklyn, New York, USA",,," Harvey Keitel
",https://www.imdb.com//name/nm0000172
1938-12-29,"Yonkers, New York, USA",,," Jon Voight
",https://www.imdb.com//name/nm0000685
1975-2-22,"Culver City, California, USA",,," Drew Barrymore
",https://www.imdb.com//name/nm0000106
1971-10-29,"Winona, Minnesota, USA",,," Winona Ryder
",https://www.imdb.com//name/nm0000213
1954-6-19,"Springfield, Missouri, USA",,," Kathleen Turner
",https://www.imdb.com//name/nm0000678
1970-4-29,"Boston, Massachusetts, USA",,," Uma Thurman
",https://www.imdb.com//name/nm0000235
1954-2-17,"Burbank, California, USA",,," Rene Russo
",https://www.imdb.com//name/nm0000623
1955-11-13,"New York City, New York, USA",,," Whoopi Goldberg
",https://www.imdb.com//name/nm0000155
1958-5-29,"Topeka, Kansas, USA",,," Annette Bening
",https://www.imdb.com//name/nm0000906
1934-12-28,"Ilford, Essex, England, UK",,," Maggie Smith
",https://www.imdb.com//name/nm0001749
1942-4-24,"Williamsburg, Brooklyn, New York City, New York, USA",,," Barbra Streisand
",https://www.imdb.com//name/nm0000659
1990-8-15,"Louisville, Kentucky, USA",,," Jennifer Lawrence
",https://www.imdb.com//name/nm2225369
1930-2-27,"Thomasville, Georgia, USA",,," Joanne Woodward
",https://www.imdb.com//name/nm0940946
1916-3-16,"Joliet, Illinois, USA",2004-3-2,"La Jolla, San Diego, California, USA"," Mercedes McCambridge
",https://www.imdb.com//name/nm0564790
1951-7-8,"Santa Monica, California, USA",,," Anjelica Huston
",https://www.imdb.com//name/nm0001378
1946-3-28,"Kansas City, Missouri, USA",,," Dianne Wiest
",https://www.imdb.com//name/nm0001848
1945-11-21,"Washington, District of Columbia, USA",,," Goldie Hawn
",https://www.imdb.com//name/nm0000443
1938-4-15,"Tunis, French Protectorate Tunisia [now Tunisia]",,," Claudia Cardinale
",https://www.imdb.com//name/nm0001012
1972-9-27,"Los Angeles, California, USA",,," Gwyneth Paltrow
",https://www.imdb.com//name/nm0000569
1975-8-7,"Benoni, Transvaal, South Africa",,," Charlize Theron
",https://www.imdb.com//name/nm0000234
1955-5-16,"Cleveland Heights, Ohio, USA",,," Debra Winger
",https://www.imdb.com//name/nm0000700
1975-9-30,"Paris, France",,," Marion Cotillard
",https://www.imdb.com//name/nm0182839
1980-2-12,"Santa Monica, California, USA",,," Christina Ricci
",https://www.imdb.com//name/nm0000207
1964-3-9,"Paris, France",,," Juliette Binoche
",https://www.imdb.com//name/nm0000300
1960-12-3,"Chicago, Illinois, USA",,," Daryl Hannah
",https://www.imdb.com//name/nm0000435
1898-8-30,"New York City, New York, USA",1992-10-16,"North Chatham, Massachusetts, USA"," Shirley Booth
",https://www.imdb.com//name/nm0095804
1976-3-22,"New Orleans, Louisiana, USA",,," Reese Witherspoon
",https://www.imdb.com//name/nm0000702
1967-2-19,"San Germán, Puerto Rico",,," Benicio Del Toro
",https://www.imdb.com//name/nm0001125
1958-7-8,"Philadelphia, Pennsylvania, USA",,," Kevin Bacon
",https://www.imdb.com//name/nm0000102
1952-8-18,"Houston, Texas, USA",2009-9-14,"Los Angeles, California, USA"," Patrick Swayze
",https://www.imdb.com//name/nm0000664
1933-3-14,"Rotherhithe, London, England, UK",,," Michael Caine
",https://www.imdb.com//name/nm0000323
1931-1-5,"San Diego, California, USA",,," Robert Duvall
",https://www.imdb.com//name/nm0000380
1913-11-2,"New York City, New York, USA",1994-10-20,"Century City, California, USA"," Burt Lancaster
",https://www.imdb.com//name/nm0000044
1917-8-6,"Bridgeport, Connecticut, USA",1997-7-1,"Santa Barbara, California, USA"," Robert Mitchum
",https://www.imdb.com//name/nm0000053
1976-5-31,"Castleknock, Dublin, Ireland",,," Colin Farrell
",https://www.imdb.com//name/nm0268199
1918-4-17,"O'Fallon, Illinois, USA",1981-11-12,"Santa Monica, California, USA"," William Holden
",https://www.imdb.com//name/nm0000034
1893-12-12,"Bucharest, Romania",1973-1-26,"Hollywood, Los Angeles, California, USA"," Edward G. Robinson
",https://www.imdb.com//name/nm0000064
1892-7-29,"Pittsburgh, Pennsylvania, USA",1984-3-5,"Palm Springs, California, USA"," William Powell
",https://www.imdb.com//name/nm0001635
1971-12-26,"Bossier City, Louisiana, USA",,," Jared Leto
",https://www.imdb.com//name/nm0001467
1909-6-20,"Hobart, Tasmania, Australia",1959-10-14,"Vancouver, British Columbia, Canada"," Errol Flynn
",https://www.imdb.com//name/nm0001224
1890-10-2,"New York City, New York, USA",1977-8-19,"Los Angeles, California, USA"," Groucho Marx
",https://www.imdb.com//name/nm0000050
1909-5-15,"Huddersfield, Yorkshire [now in Kirklees, West Yorkshire], England, UK",1984-7-27,"Lausanne, Vaud, Switzerland"," James Mason
",https://www.imdb.com//name/nm0000051
1895-10-4,"Piqua, Kansas, USA",1966-2-1,"Los Angeles, California, USA"," Buster Keaton
",https://www.imdb.com//name/nm0000036
1915-5-6,"Kenosha, Wisconsin, USA",1985-10-10,"Hollywood, Los Angeles, California, USA"," Orson Welles
",https://www.imdb.com//name/nm0000080
1899-5-10,"Omaha, Nebraska, USA",1987-6-22,"Los Angeles, California, USA"," Fred Astaire
",https://www.imdb.com//name/nm0000001
1975-1-5,"Philadelphia, Pennsylvania, USA",,," Bradley Cooper
",https://www.imdb.com//name/nm0177896
1958-3-21,"New Cross, London, England, UK",,," Gary Oldman
",https://www.imdb.com//name/nm0000198
1972-12-29,"Lewisham, London, England, UK",,," Jude Law
",https://www.imdb.com//name/nm0000179
1967-6-6,"New Haven, Connecticut, USA",,," Paul Giamatti
",https://www.imdb.com//name/nm0316079
1952-6-7,"Ballymena, Co. Antrim, Northern Ireland, UK",,," Liam Neeson
",https://www.imdb.com//name/nm0000553
1970-10-8,"Boston, Massachusetts, USA",,," Matt Damon
",https://www.imdb.com//name/nm0000354
1977-4-2,"Heidelberg, Baden-Württemberg, West Germany",,," Michael Fassbender
",https://www.imdb.com//name/nm1055413
1933-4-26,"San Antonio, Texas, USA",,," Carol Burnett
",https://www.imdb.com//name/nm0000993
1909-6-7,"Stoke Newington, London, England, UK",1994-9-11,"Easton, Connecticut, USA"," Jessica Tandy
",https://www.imdb.com//name/nm0001788
1963-6-15,"Culver City, California, USA",,," Helen Hunt
",https://www.imdb.com//name/nm0000166
1968-4-8,"Chicago, Illinois, USA",,," Patricia Arquette
",https://www.imdb.com//name/nm0000099
1909-2-9,"Marco de Canavezes, Portugal",1955-8-5,"Beverly Hills, Los Angeles, California, USA"," Carmen Miranda
",https://www.imdb.com//name/nm0000544
1979-4-19,"Los Angeles, California, USA",,," Kate Hudson
",https://www.imdb.com//name/nm0005028
1969-9-25,"Swansea, West Glamorgan, Wales, UK",,," Catherine Zeta-Jones
",https://www.imdb.com//name/nm0001876
1972-8-30,"San Diego, California, USA",,," Cameron Diaz
",https://www.imdb.com//name/nm0000139
1932-4-1,"El Paso, Texas, USA",2016-12-28,"Los Angeles, California, USA"," Debbie Reynolds
",https://www.imdb.com//name/nm0001666
1932-12-7,"Detroit, Michigan, USA",,," Ellen Burstyn
",https://www.imdb.com//name/nm0000995
1920-8-17,"Ranelagh, County Dublin, Ireland, UK [now Ranelagh, Dublin, Republic of Ireland]",2015-10-24,"Boise, Idaho, USA"," Maureen O'Hara
",https://www.imdb.com//name/nm0000058
