Name,Birth Date,Birth Date(Date Time),Birth Place,Death Date,Death Date(Date Time),Death Place,URL,Age
 Gregory Peck,1916-4-5,1916-04-05,"La Jolla [now in San Diego], California, USA",2003-6-12,2003-06-12,"Los Angeles, California, USA",https://www.imdb.com//name/nm0000060,87
 Leonardo DiCaprio,1974-11-11,1974-11-11,"Hollywood, Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0000138,46
 Cate Blanchett,1969-5-14,1969-05-14,"Melbourne, Victoria, Australia",,,,https://www.imdb.com//name/nm0000949,52
 Audrey Hepburn,1929-5-4,1929-05-04,"Ixelles, Brussels, Belgium",1993-1-20,1993-01-20,"Tolochenaz, Vaud, Switzerland",https://www.imdb.com//name/nm0000030,63
 Spencer Tracy,1900-4-5,1900-04-05,"Milwaukee, Wisconsin, USA",1967-6-10,1967-06-10,"Beverly Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0000075,67
 Kate Winslet,1975-10-5,1975-10-05,"Reading, Berkshire, England, UK",,,,https://www.imdb.com//name/nm0000701,45
 Shah Rukh Khan,1965-11-2,1965-11-02,"New Delhi, India",,,,https://www.imdb.com//name/nm0451321,55
 Viola Davis,1965-8-11,1965-08-11,"St. Matthews, South Carolina, USA",,,,https://www.imdb.com//name/nm0205626,55
 Sophia Loren,1934-9-20,1934-09-20,"Rome, Lazio, Italy",,,,https://www.imdb.com//name/nm0000047,86
 Cary Grant,1904-1-18,1904-01-18,"Horfield, Bristol, England, UK",1986-11-29,1986-11-29,"Davenport, Iowa, USA",https://www.imdb.com//name/nm0000026,82
 Vivien Leigh,1913-11-5,1913-11-05,"Darjeeling, Bengal Presidency, British India [now West Bengal, India]",1967-7-8,1967-07-08,"Belgravia, London, England, UK",https://www.imdb.com//name/nm0000046,53
 Marilyn Monroe,1926-6-1,1926-06-01,"Los Angeles, California, USA",1962-8-5,1962-08-05,"Los Angeles, California, USA",https://www.imdb.com//name/nm0000054,36
 Laurence Olivier,1907-5-22,1907-05-22,"Dorking, Surrey, England, UK",1989-7-11,1989-07-11,"Steyning, West Sussex, England, UK",https://www.imdb.com//name/nm0000059,82
 James Stewart,1908-5-20,1908-05-20,"Indiana, Pennsylvania, USA",1997-7-2,1997-07-02,"Los Angeles, California, USA",https://www.imdb.com//name/nm0000071,89
 Steve McQueen,1930-3-24,1930-03-24,"Beech Grove, Indiana, USA",1980-11-7,1980-11-07,"Ciudad Juárez, Chihuahua, Mexico",https://www.imdb.com//name/nm0000537,50
 Diane Keaton,1946-1-5,1946-01-05,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0000473,75
 Julia Roberts,1967-10-28,1967-10-28,"Smyrna, Georgia, USA",,,,https://www.imdb.com//name/nm0000210,53
 Jodie Foster,1962-11-19,1962-11-19,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0000149,58
 Judy Garland,1922-6-10,1922-06-10,"Grand Rapids, Minnesota, USA",1969-6-22,1969-06-22,"Belgravia, London, England, UK",https://www.imdb.com//name/nm0000023,47
 Morgan Freeman,1937-6-1,1937-06-01,"Memphis, Tennessee, USA",,,,https://www.imdb.com//name/nm0000151,84
 Paul Newman,1925-1-26,1925-01-26,"Shaker Heights, Ohio, USA",2008-9-26,2008-09-26,"Westport, Connecticut, USA",https://www.imdb.com//name/nm0000056,83
 Henry Fonda,1905-5-16,1905-05-16,"Grand Island, Nebraska, USA",1982-8-12,1982-08-12,"Los Angeles, California, USA",https://www.imdb.com//name/nm0000020,77
 Catherine Deneuve,1943-10-22,1943-10-22,"Paris, France",,,,https://www.imdb.com//name/nm0000366,77
 Grace Kelly,1929-11-12,1929-11-12,"Philadelphia, Pennsylvania, USA",1982-9-14,1982-09-14,Monaco,https://www.imdb.com//name/nm0000038,52
 Helen Mirren,1945-7-26,1945-07-26,"Hammersmith, London, England, UK",,,,https://www.imdb.com//name/nm0000545,76
 James Cagney,1899-7-17,1899-07-17,"New York City, New York, USA",1986-3-30,1986-03-30,"Stanfordville, New York, USA",https://www.imdb.com//name/nm0000010,86
 Angela Bassett,1958-8-16,1958-08-16,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0000291,62
 Johnny Depp,1963-6-9,1963-06-09,"Owensboro, Kentucky, USA",,,,https://www.imdb.com//name/nm0000136,58
 Greta Garbo,1905-9-18,1905-09-18,"Stockholm, Stockholms län, Sweden",1990-4-15,1990-04-15,"New York City, New York, USA",https://www.imdb.com//name/nm0001256,84
 Olivia de Havilland,1916-7-1,1916-07-01,"Tokyo, Japan",2020-7-26,2020-07-26,"Paris, France",https://www.imdb.com//name/nm0000014,104
 Charles Chaplin,1889-4-16,1889-04-16,"Walworth, London, England, UK",1977-12-25,1977-12-25,"Vevey, Vaud, Switzerland",https://www.imdb.com//name/nm0000122,88
 Setsuko Hara,1920-6-17,1920-06-17,"Yokohama, Japan",2015-9-5,2015-09-05,"Kanagawa, Japan",https://www.imdb.com//name/nm0361697,95
 Julie Andrews,1935-10-1,1935-10-01,"Walton-on-Thames, Surrey, England, UK",,,,https://www.imdb.com//name/nm0000267,85
 Montgomery Clift,1920-10-17,1920-10-17,"Omaha, Nebraska, USA",1966-7-23,1966-07-23,"New York City, New York, USA",https://www.imdb.com//name/nm0001050,45
 Isabelle Huppert,1953-3-16,1953-03-16,"Paris, France",,,,https://www.imdb.com//name/nm0001376,68
 Al Pacino,1940-4-25,1940-04-25,"Manhattan, New York City, New York, USA",,,,https://www.imdb.com//name/nm0000199,81
 Rita Hayworth,1918-10-17,1918-10-17,"Brooklyn, New York City, New York, USA",1987-5-14,1987-05-14,"New York City, New York, USA",https://www.imdb.com//name/nm0000028,68
 Halle Berry,1966-8-14,1966-08-14,"Cleveland, Ohio, USA",,,,https://www.imdb.com//name/nm0000932,54
 James Dean,1931-2-8,1931-02-08,"Marion, Indiana, USA",1955-9-30,1955-09-30,"Cholame, California, USA",https://www.imdb.com//name/nm0000015,24
 Kirk Douglas,1916-12-9,1916-12-09,"Amsterdam, New York, USA",2020-2-5,2020-02-05,"Beverly Hills, California, USA",https://www.imdb.com//name/nm0000018,103
 Natalie Wood,1938-7-20,1938-07-20,"San Francisco, California, USA",1981-11-29,1981-11-29,"Pacific Ocean off Santa Catalina Island, California, USA",https://www.imdb.com//name/nm0000081,43
 Marcello Mastroianni,1924-9-28,1924-09-28,"Fontana Liri, Lazio, Italy",1996-12-19,1996-12-19,"Paris, France",https://www.imdb.com//name/nm0000052,72
 Joan Crawford,1904-3-23,1904-03-23,"San Antonio, Texas, USA",1977-5-10,1977-05-10,"New York City, New York, USA",https://www.imdb.com//name/nm0001076,73
 Harrison Ford,1942-7-13,1942-07-13,"Chicago, Illinois, USA",,,,https://www.imdb.com//name/nm0000148,79
 Susan Sarandon,1946-10-4,1946-10-04,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0000215,74
 Gene Kelly,1912-8-23,1912-08-23,"Pittsburgh, Pennsylvania, USA",1996-2-2,1996-02-02,"Beverly Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0000037,83
 Glenn Close,1947-3-19,1947-03-19,"Greenwich, Connecticut, USA",,,,https://www.imdb.com//name/nm0000335,74
 Joan Fontaine,1917-10-22,1917-10-22,"Tokyo, Japan",2013-12-15,2013-12-15,"Carmel, California, USA",https://www.imdb.com//name/nm0000021,96
 Julianne Moore,1960-12-3,1960-12-03,"Fayetteville, North Carolina, USA",,,,https://www.imdb.com//name/nm0000194,60
 Will Smith,1968-9-25,1968-09-25,"Philadelphia, Pennsylvania, USA",,,,https://www.imdb.com//name/nm0000226,52
 Bruce Lee,1940-11-27,1940-11-27,"San Francisco, California, USA",1973-7-20,1973-07-20,"Kowloon, Hong Kong",https://www.imdb.com//name/nm0000045,32
 Regina King,1971-1-15,1971-01-15,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0005093,50
 Angelina Jolie,1975-6-4,1975-06-04,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0001401,46
 John Wayne,1907-5-26,1907-05-26,"Winterset, Iowa, USA",1979-6-11,1979-06-11,"Los Angeles, California, USA",https://www.imdb.com//name/nm0000078,72
 Jane Fonda,1937-12-21,1937-12-21,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0000404,83
 Charlton Heston,1923-10-4,1923-10-04,"Wilmette, Illinois, USA",2008-4-5,2008-04-05,"Beverly Hills, California, USA",https://www.imdb.com//name/nm0000032,84
 Gary Cooper,1901-5-7,1901-05-07,"Helena, Montana, USA",1961-5-13,1961-05-13,"Beverly Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0000011,60
 Anthony Hopkins,1937-12-31,1937-12-31,"Margam, Port Talbot, West Glamorgan, Wales, UK",,,,https://www.imdb.com//name/nm0000164,83
 Liv Ullmann,1938-12-16,1938-12-16,"Tokyo, Japan",,,,https://www.imdb.com//name/nm0880521,82
 Natalie Portman,1981-6-9,1981-06-09,"Jerusalem, Israel",,,,https://www.imdb.com//name/nm0000204,40
 Gérard Depardieu,1948-12-27,1948-12-27,"Châteauroux, Indre, France",,,,https://www.imdb.com//name/nm0000367,72
 Forest Whitaker,1961-7-15,1961-07-15,"Longview, Texas, USA",,,,https://www.imdb.com//name/nm0001845,60
 Sandra Bullock,1964-7-26,1964-07-26,"Arlington, Virginia, USA",,,,https://www.imdb.com//name/nm0000113,57
 Deborah Kerr,1921-9-30,1921-09-30,"Hillhead, Glasgow, Scotland, UK",2007-10-16,2007-10-16,"Botesdale, Suffolk, England, UK",https://www.imdb.com//name/nm0000039,86
 Toshirô Mifune,1920-4-1,1920-04-01,"Tsingtao, China [now Qingdao, Shandong, China]",1997-12-24,1997-12-24,"Mitaka city, Tokyo, Japan",https://www.imdb.com//name/nm0001536,77
 Dustin Hoffman,1937-8-8,1937-08-08,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0000163,83
 Mohanlal,1960-5-21,1960-05-21,"Pathanamthitta, Kerala, India",,,,https://www.imdb.com//name/nm0482320,61
 Emma Thompson,1959-4-15,1959-04-15,"Paddington, London, England, UK",,,,https://www.imdb.com//name/nm0000668,62
 Tom Cruise,1962-7-3,1962-07-03,"Syracuse, New York, USA",,,,https://www.imdb.com//name/nm0000129,59
 Michelle Pfeiffer,1958-4-29,1958-04-29,"Santa Ana, California, USA",,,,https://www.imdb.com//name/nm0000201,63
 Faye Dunaway,1941-1-14,1941-01-14,"Bascom, Florida, USA",,,,https://www.imdb.com//name/nm0001159,80
 Samuel L. Jackson,1948-12-21,1948-12-21,"Washington, District of Columbia, USA",,,,https://www.imdb.com//name/nm0000168,72
 Peter O'Toole,1932-8-2,1932-08-02,"Hunslet, Leeds, West Yorkshire, England, UK",2013-12-14,2013-12-14,"London, England, UK",https://www.imdb.com//name/nm0000564,81
 Heath Ledger,1979-4-4,1979-04-04,"Perth, Western Australia, Australia",2008-1-22,2008-01-22,"Manhattan, New York City, New York, USA",https://www.imdb.com//name/nm0005132,28
 Penélope Cruz,1974-4-28,1974-04-28,"Alcobendas, Madrid, Spain",,,,https://www.imdb.com//name/nm0004851,47
 Nicole Kidman,1967-6-20,1967-06-20,"Honolulu, Hawaii, USA",,,,https://www.imdb.com//name/nm0000173,54
 Chadwick Boseman,1976-11-29,1976-11-29,"Anderson, South Carolina, USA",2020-8-28,2020-08-28,"Los Angeles, California, USA",https://www.imdb.com//name/nm1569276,43
 Antonio Banderas,1960-8-10,1960-08-10,"Málaga, Málaga, Andalucía, Spain",,,,https://www.imdb.com//name/nm0000104,60
 Sigourney Weaver,1949-10-8,1949-10-08,"Manhattan, New York City, New York, USA",,,,https://www.imdb.com//name/nm0000244,71
 Salma Hayek,1966-9-2,1966-09-02,"Coatzacoalcos, Veracruz, Mexico",,,,https://www.imdb.com//name/nm0000161,54
 Don Cheadle,1964-11-29,1964-11-29,"Kansas City, Missouri, USA",,,,https://www.imdb.com//name/nm0000332,56
 Frances McDormand,1957-6-23,1957-06-23,"Gibson City, Illinois, USA",,,,https://www.imdb.com//name/nm0000531,64
 Kathy Bates,1948-6-28,1948-06-28,"Memphis, Tennessee, USA",,,,https://www.imdb.com//name/nm0000870,73
 Omar Sharif,1932-4-10,1932-04-10,"Alexandria, Egypt",2015-7-10,2015-07-10,"Cairo, Egypt",https://www.imdb.com//name/nm0001725,83
 Amy Adams,1974-8-20,1974-08-20,"Vicenza, Veneto, Italy",,,,https://www.imdb.com//name/nm0010736,46
 Joaquin Phoenix,1974-10-28,1974-10-28,"San Juan, Puerto Rico",,,,https://www.imdb.com//name/nm0001618,46
 Jeff Bridges,1949-12-4,1949-12-04,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0000313,71
 Ben Kingsley,1943-12-31,1943-12-31,"Scarborough, Yorkshire, England, UK",,,,https://www.imdb.com//name/nm0001426,77
 Tommy Lee Jones,1946-9-15,1946-09-15,"San Saba, Texas, USA",,,,https://www.imdb.com//name/nm0000169,74
 Robert Redford,1936-8-18,1936-08-18,"Santa Monica, California, USA",,,,https://www.imdb.com//name/nm0000602,84
 Jack Lemmon,1925-2-8,1925-02-08,"Newton, Massachusetts, USA",2001-6-27,2001-06-27,"Los Angeles, California, USA",https://www.imdb.com//name/nm0000493,76
 Christopher Plummer,1929-12-13,1929-12-13,"Toronto, Ontario, Canada",2021-2-5,2021-02-05,"Weston, Connecticut, USA",https://www.imdb.com//name/nm0001626,91
 George C. Scott,1927-10-18,1927-10-18,"Wise, Virginia, USA",1999-9-22,1999-09-22,"Westlake Village, California, USA",https://www.imdb.com//name/nm0001715,71
 Robin Williams,1951-7-21,1951-07-21,"Chicago, Illinois, USA",2014-8-11,2014-08-11,"Tiburon, California, USA",https://www.imdb.com//name/nm0000245,63
 Christopher Walken,1943-3-31,1943-03-31,"Astoria, Queens, New York City, New York, USA",,,,https://www.imdb.com//name/nm0000686,78
 Philip Seymour Hoffman,1967-7-23,1967-07-23,"Fairport, New York, USA",2014-2-2,2014-02-02,"West Village, Manhattan, New York City, New York, USA",https://www.imdb.com//name/nm0000450,46
 George Clooney,1961-5-6,1961-05-06,"Lexington, Kentucky, USA",,,,https://www.imdb.com//name/nm0000123,60
 Gene Hackman,1930-1-30,1930-01-30,"San Bernardino, California, USA",,,,https://www.imdb.com//name/nm0000432,91
 Bruce Willis,1955-3-19,1955-03-19,"Idar-Oberstein, West Germany",,,,https://www.imdb.com//name/nm0000246,66
 Sean Connery,1930-8-25,1930-08-25,"Edinburgh, Scotland, UK",2020-10-31,2020-10-31,"Nassau, Bahamas",https://www.imdb.com//name/nm0000125,90
 Ian McKellen,1939-5-25,1939-05-25,"Burnley, Lancashire, England, UK",,,,https://www.imdb.com//name/nm0005212,82
 Russell Crowe,1964-4-7,1964-04-07,"Wellington, New Zealand",,,,https://www.imdb.com//name/nm0000128,57
 Bill Murray,1950-9-21,1950-09-21,"Wilmette, Illinois, USA",,,,https://www.imdb.com//name/nm0000195,70
 Nicolas Cage,1964-1-7,1964-01-07,"Long Beach, California, USA",,,,https://www.imdb.com//name/nm0000115,57
 Joe Pesci,1943-2-9,1943-02-09,"Newark, New Jersey, USA",,,,https://www.imdb.com//name/nm0000582,78
 Brad Pitt,1963-12-18,1963-12-18,"Shawnee, Oklahoma, USA",,,,https://www.imdb.com//name/nm0000093,57
 Kevin Costner,1955-1-18,1955-01-18,"Lynwood, California, USA",,,,https://www.imdb.com//name/nm0000126,66
 Donald Sutherland,1935-7-17,1935-07-17,"Saint John, New Brunswick, Canada",,,,https://www.imdb.com//name/nm0000661,86
 Clint Eastwood,1930-5-31,1930-05-31,"San Francisco, California, USA",,,,https://www.imdb.com//name/nm0000142,91
 Michael Douglas,1944-9-25,1944-09-25,"New Brunswick, New Jersey, USA",,,,https://www.imdb.com//name/nm0000140,76
 Robert Downey Jr.,1965-4-4,1965-04-04,"Manhattan, New York City, New York, USA",,,,https://www.imdb.com//name/nm0000375,56
 Ava Gardner,1922-12-24,1922-12-24,"Grabtown, North Carolina, USA",1990-1-25,1990-01-25,"Westminster, London, England, UK",https://www.imdb.com//name/nm0001257,67
 Sally Field,1946-11-6,1946-11-06,"Pasadena, California, USA",,,,https://www.imdb.com//name/nm0000398,74
 Doris Day,1922-4-3,1922-04-03,"Cincinnati, Ohio, USA",2019-5-13,2019-05-13,"Carmel Valley, California, USA",https://www.imdb.com//name/nm0000013,97
 Shirley MacLaine,1934-4-24,1934-04-24,"Richmond, Virginia, USA",,,,https://www.imdb.com//name/nm0000511,87
 Holly Hunter,1958-3-20,1958-03-20,"Conyers, Georgia, USA",,,,https://www.imdb.com//name/nm0000456,63
 Hilary Swank,1974-7-30,1974-07-30,"Lincoln, Nebraska, USA",,,,https://www.imdb.com//name/nm0005476,47
 Claudette Colbert,1903-9-13,1903-09-13,"Saint-Mandé, Seine [now Val-de-Marne], France",1996-7-30,1996-07-30,"Speightstown, Barbados",https://www.imdb.com//name/nm0001055,92
 Diane Lane,1965-1-22,1965-01-22,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0000178,56
 Jessica Lange,1949-4-20,1949-04-20,"Cloquet, Minnesota, USA",,,,https://www.imdb.com//name/nm0001448,72
 Gloria Swanson,1899-3-27,1899-03-27,"Chicago, Illinois, USA",1983-4-4,1983-04-04,"New York City, New York, USA",https://www.imdb.com//name/nm0841797,84
 Lauren Bacall,1924-9-16,1924-09-16,"The Bronx, New York City, New York, USA",2014-8-12,2014-08-12,"New York City, New York, USA",https://www.imdb.com//name/nm0000002,89
 Lucy Liu,1968-12-2,1968-12-02,"Queens, New York City, New York, USA",,,,https://www.imdb.com//name/nm0005154,52
 Norma Shearer,1902-8-10,1902-08-10,"Montréal, Québec, Canada",1983-6-12,1983-06-12,"Woodland Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0790454,80
 Bette Midler,1945-12-1,1945-12-01,"Honolulu, Hawaii, USA",,,,https://www.imdb.com//name/nm0000541,75
 Mary Tyler Moore,1936-12-29,1936-12-29,"Brooklyn, New York, USA",2017-1-25,2017-01-25,"Greenwich, Connecticut, USA",https://www.imdb.com//name/nm0001546,80
 Anna Magnani,1908-3-7,1908-03-07,"Rome, Lazio, Italy",1973-9-26,1973-09-26,"Rome, Lazio, Italy",https://www.imdb.com//name/nm0536167,65
 Judi Dench,1934-12-9,1934-12-09,"York, North Yorkshire, England, UK",,,,https://www.imdb.com//name/nm0001132,86
 Sharon Stone,1958-3-10,1958-03-10,"Meadville, Pennsylvania, USA",,,,https://www.imdb.com//name/nm0000232,63
 Kim Basinger,1953-12-8,1953-12-08,"Athens, Georgia, USA",,,,https://www.imdb.com//name/nm0000107,67
 Glenda Jackson,1936-5-9,1936-05-09,"Birkenhead, Cheshire, England, UK",,,,https://www.imdb.com//name/nm0413559,85
 Donna Reed,1921-1-27,1921-01-27,"Denison, Iowa, USA",1986-1-14,1986-01-14,"Beverly Hills, Los Angeles, California, USA",https://www.imdb.com//name/nm0001656,64
 Demi Moore,1962-11-11,1962-11-11,"Roswell, New Mexico, USA",,,,https://www.imdb.com//name/nm0000193,58
 Anne Hathaway,1982-11-12,1982-11-12,"Brooklyn, New York City, New York, USA",,,,https://www.imdb.com//name/nm0004266,38
 Liza Minnelli,1946-3-12,1946-03-12,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0591485,75
 Geena Davis,1956-1-21,1956-01-21,"Wareham, Massachusetts, USA",,,,https://www.imdb.com//name/nm0000133,65
 Peter Sellers,1925-9-8,1925-09-08,"Southsea, Hampshire, England, UK",1980-7-24,1980-07-24,"Lambeth, London, England, UK",https://www.imdb.com//name/nm0000634,54
 Woody Allen,1935-12-1,1935-12-01,"Bronx, New York City, New York, USA",,,,https://www.imdb.com//name/nm0000095,85
 Mel Gibson,1956-1-3,1956-01-03,"Peekskill, New York, USA",,,,https://www.imdb.com//name/nm0000154,65
 Jim Carrey,1962-1-17,1962-01-17,"Newmarket, Ontario, Canada",,,,https://www.imdb.com//name/nm0000120,59
 Mark Wahlberg,1971-6-5,1971-06-05,"Dorchester, Boston, Massachusetts, USA",,,,https://www.imdb.com//name/nm0000242,50
 Steve Martin,1945-8-14,1945-08-14,"Waco, Texas, USA",,,,https://www.imdb.com//name/nm0000188,75
 Javier Bardem,1969-3-1,1969-03-01,"Las Palmas de Gran Canaria, Gran Canaria, Canary Islands, Spain",,,,https://www.imdb.com//name/nm0000849,52
 Christoph Waltz,1956-10-4,1956-10-04,"Vienna, Austria",,,,https://www.imdb.com//name/nm0910607,64
 Tim Robbins,1958-10-16,1958-10-16,"West Covina, California, USA",,,,https://www.imdb.com//name/nm0000209,62
 Arnold Schwarzenegger,1947-7-30,1947-07-30,"Thal, Styria, Austria",,,,https://www.imdb.com//name/nm0000216,74
 Sylvester Stallone,1946-7-6,1946-07-06,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0000230,75
 Viggo Mortensen,1958-10-20,1958-10-20,"Manhattan, New York City, New York, USA",,,,https://www.imdb.com//name/nm0001557,62
 Christopher Lee,1922-5-27,1922-05-27,"Belgravia, London, England, UK",2015-6-7,2015-06-07,"Chelsea, London, England, UK",https://www.imdb.com//name/nm0000489,93
 Geoffrey Rush,1951-7-6,1951-07-06,"Toowoomba, Queensland, Australia",,,,https://www.imdb.com//name/nm0001691,70
 Alec Guinness,1914-4-2,1914-04-02,"Marylebone, London, England, UK",2000-8-5,2000-08-05,"Midhurst, Sussex, England, UK",https://www.imdb.com//name/nm0000027,86
 Richard Burton,1925-11-10,1925-11-10,"Pontrhydyfen, Wales, UK",1984-8-5,1984-08-05,"Céligny, Geneva, Switzerland",https://www.imdb.com//name/nm0000009,58
 Alec Baldwin,1958-4-3,1958-04-03,"Massapequa, Long Island, New York, USA",,,,https://www.imdb.com//name/nm0000285,63
 James Caan,1940-3-26,1940-03-26,"The Bronx, New York, USA",,,,https://www.imdb.com//name/nm0001001,81
 Chiwetel Ejiofor,1977-7-10,1977-07-10,"Forest Gate, London, England, UK",,,,https://www.imdb.com//name/nm0252230,44
 Mads Mikkelsen,1965-11-22,1965-11-22,"Østerbro, Copenhagen, Denmark",,,,https://www.imdb.com//name/nm0586568,55
 Ben Stiller,1965-11-30,1965-11-30,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0001774,55
 Willem Dafoe,1955-7-22,1955-07-22,"Appleton, Wisconsin, USA",,,,https://www.imdb.com//name/nm0000353,66
 Ed Harris,1950-11-28,1950-11-28,"Tenafly, New Jersey, USA",,,,https://www.imdb.com//name/nm0000438,70
 Harvey Keitel,1939-5-13,1939-05-13,"Brooklyn, New York, USA",,,,https://www.imdb.com//name/nm0000172,82
 Jon Voight,1938-12-29,1938-12-29,"Yonkers, New York, USA",,,,https://www.imdb.com//name/nm0000685,82
 Drew Barrymore,1975-2-22,1975-02-22,"Culver City, California, USA",,,,https://www.imdb.com//name/nm0000106,46
 Winona Ryder,1971-10-29,1971-10-29,"Winona, Minnesota, USA",,,,https://www.imdb.com//name/nm0000213,49
 Kathleen Turner,1954-6-19,1954-06-19,"Springfield, Missouri, USA",,,,https://www.imdb.com//name/nm0000678,67
 Uma Thurman,1970-4-29,1970-04-29,"Boston, Massachusetts, USA",,,,https://www.imdb.com//name/nm0000235,51
 Rene Russo,1954-2-17,1954-02-17,"Burbank, California, USA",,,,https://www.imdb.com//name/nm0000623,67
 Whoopi Goldberg,1955-11-13,1955-11-13,"New York City, New York, USA",,,,https://www.imdb.com//name/nm0000155,65
 Annette Bening,1958-5-29,1958-05-29,"Topeka, Kansas, USA",,,,https://www.imdb.com//name/nm0000906,63
 Maggie Smith,1934-12-28,1934-12-28,"Ilford, Essex, England, UK",,,,https://www.imdb.com//name/nm0001749,86
 Barbra Streisand,1942-4-24,1942-04-24,"Williamsburg, Brooklyn, New York City, New York, USA",,,,https://www.imdb.com//name/nm0000659,79
 Jennifer Lawrence,1990-8-15,1990-08-15,"Louisville, Kentucky, USA",,,,https://www.imdb.com//name/nm2225369,30
 Joanne Woodward,1930-2-27,1930-02-27,"Thomasville, Georgia, USA",,,,https://www.imdb.com//name/nm0940946,91
 Mercedes McCambridge,1916-3-16,1916-03-16,"Joliet, Illinois, USA",2004-3-2,2004-03-02,"La Jolla, San Diego, California, USA",https://www.imdb.com//name/nm0564790,87
 Anjelica Huston,1951-7-8,1951-07-08,"Santa Monica, California, USA",,,,https://www.imdb.com//name/nm0001378,70
 Dianne Wiest,1946-3-28,1946-03-28,"Kansas City, Missouri, USA",,,,https://www.imdb.com//name/nm0001848,75
 Goldie Hawn,1945-11-21,1945-11-21,"Washington, District of Columbia, USA",,,,https://www.imdb.com//name/nm0000443,75
 Claudia Cardinale,1938-4-15,1938-04-15,"Tunis, French Protectorate Tunisia [now Tunisia]",,,,https://www.imdb.com//name/nm0001012,83
 Gwyneth Paltrow,1972-9-27,1972-09-27,"Los Angeles, California, USA",,,,https://www.imdb.com//name/nm0000569,48
 Charlize Theron,1975-8-7,1975-08-07,"Benoni, Transvaal, South Africa",,,,https://www.imdb.com//name/nm0000234,45
 Debra Winger,1955-5-16,1955-05-16,"Cleveland Heights, Ohio, USA",,,,https://www.imdb.com//name/nm0000700,66
 Marion Cotillard,1975-9-30,1975-09-30,"Paris, France",,,,https://www.imdb.com//name/nm0182839,45
 Christina Ricci,1980-2-12,1980-02-12,"Santa Monica, California, USA",,,,https://www.imdb.com//name/nm0000207,41
 Juliette Binoche,1964-3-9,1964-03-09,"Paris, France",,,,https://www.imdb.com//name/nm0000300,57
 Daryl Hannah,1960-12-3,1960-12-03,"Chicago, Illinois, USA",,,,https://www.imdb.com//name/nm0000435,60
